k,phase,seg,sim_time_ns,a_thrust,a_roll,a_pitch,a_yaw,cmd_wx,cmd_wy,cmd_wz,cmd_thrust,collective,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,k_tick
127,prog,g1,263404146000,-0.532248,-0.15484076,-0.0,-0.0294586,-0.48619998639999995,-0.0,-0.09250000400000014,1.1693799999999999,0.31058732799999994,1.2088505029678345,-0.038018763065338135,0.22067153453826904,-2.1078131198883057,0.00574183464050293,-12.196967124938965,128
128,prog,g1,263431963000,-0.544588,-0.10917197,-0.0,0.04280255,-0.34279998580000015,-0.0,0.134400007,1.13853,0.302393568,1.309075117111206,-0.015266239643096924,0.10066956281661987,-2.1264569759368896,-0.01972222328186035,-12.153419494628906,129
129,prog,g1,263459693000,-0.541984,-0.09363057,-0.0,0.06130573,-0.2939999898000001,-0.0,0.1924999921999997,1.1450399999999998,0.30412262399999995,0.9225448966026306,-0.025710254907608032,-0.14050602912902832,-2.1436033248901367,-0.08837676048278809,-11.575643539428711,130
130,prog,g1,263480523000,-0.541984,-0.09363057,-0.0,0.06130573,-0.2939999898000001,-0.0,0.1924999921999997,1.1450399999999998,0.30412262399999995,0.7257303595542908,-0.030188679695129395,-0.4460698664188385,-2.1647286415100098,-0.11730766296386719,-11.482551574707031,131
131,prog,g1,263508412000,-0.545556,-0.09098726,-0.0,0.06589172,-0.2856999964,-0.0,0.20690000080000015,1.13611,0.301750816,0.747949481010437,-0.02364593744277954,-0.6607504487037659,-2.2086105346679688,-0.13320136070251465,-11.447193145751953,132
132,prog,g1,263529167000,-0.543684,-0.09350318,-0.0,0.0561465,-0.2935999852000002,-0.0,0.17630001000000028,1.1407900000000002,0.3029938240000001,0.7784487009048462,-0.012284845113754272,-0.6473109722137451,-2.239119529724121,-0.1244208812713623,-11.32763957977295,133
133,prog,g1,263556916000,-0.543684,-0.09350318,-0.0,0.0561465,-0.2935999852000002,-0.0,0.17630001000000028,1.1407900000000002,0.3029938240000001,0.7928095459938049,-0.009573608636856079,-0.5345522165298462,-2.2820396423339844,-0.1310420036315918,-11.371870040893555,134
134,prog,g1,263577765000,-0.547404,-0.09659236,-0.0,0.05245223,-0.3033000104000001,-0.0,0.16470000220000047,1.1314899999999999,0.300523744,0.8098454475402832,-0.012440383434295654,-0.4459974467754364,-2.3110857009887695,-0.1378498077392578,-11.455888748168945,135
135,prog,g1,263605559000,-0.543252,-0.09254777,-0.0,0.04611465,-0.29059999780000023,-0.0,0.14480000100000012,1.1418700000000002,0.30328067200000003,0.838057279586792,-0.014848113059997559,-0.4076057970523834,-2.3480939865112305,-0.14868855476379395,-11.361146926879883,136
136,prog,g1,263626424000,-0.543252,-0.09254777,-0.0,0.04611465,-0.29059999780000023,-0.0,0.14480000100000012,1.1418700000000002,0.30328067200000003,0.8433122634887695,-0.012250661849975586,-0.4051397442817688,-2.3760440349578857,-0.15715742111206055,-11.400077819824219,137
137,prog,g1,263654168000,-0.543252,-0.09254777,-0.0,0.04611465,-0.29059999780000023,-0.0,0.14480000100000012,1.1418700000000002,0.30328067200000003,0.8180704116821289,-0.008709579706192017,-0.3843625485897064,-2.412956476211548,-0.1691577434539795,-11.571660041809082,138
137,prog,g1,263675108000,-0.543252,-0.09254777,-0.0,0.04611465,-0.29059999780000023,-0.0,0.14480000100000012,1.1418700000000002,0.30328067200000003,0.8244029879570007,-0.009175390005111694,-0.37586915493011475,-2.440221071243286,-0.1768404245376587,-11.58730697631836,139
139,prog,g1,263703056000,-0.53568,-0.08649682,-0.0,0.03092357,-0.2716000148000002,-0.0,0.09710000979999966,1.1607999999999998,0.30830847999999994,0.8358371257781982,-0.008800327777862549,-0.3771161437034607,-2.499429702758789,-0.2227092981338501,-11.53725814819336,140
