t,a_thrust,a_roll,a_pitch,a_yaw
1.07500,-0.600000,0.000000,0.000000,0.132350
1.10000,-0.600000,0.000000,0.000000,0.189943
1.12500,-0.600000,0.000000,0.000000,0.249944
1.15000,-0.600000,0.000000,0.000000,0.307704
1.17500,-0.600000,0.000000,0.000000,0.357024
1.20000,-0.600000,0.000000,0.000000,0.390367
1.22500,-0.600000,0.000000,0.000000,0.399489
1.25000,-0.600000,0.000000,0.000000,0.376618
1.27500,-0.600000,0.000000,0.000000,0.316182
1.30000,-0.600000,0.000000,0.000000,0.216977
1.32500,-0.600000,0.000000,0.000000,0.084381
1.35000,-0.600000,0.000000,0.000000,-0.067998
1.37500,-0.600000,0.000000,0.000000,-0.218130
1.40000,-0.600000,0.000000,0.000000,-0.337731
1.42500,-0.600000,0.000000,0.000000,-0.397387
1.45000,-0.600000,0.000000,0.000000,-0.374455
1.47500,-0.600000,0.000000,0.000000,-0.262308
1.50000,-0.600000,0.000000,0.000000,-0.078036
1.52500,-0.600000,0.000000,0.000000,0.135310
1.55000,-0.600000,0.000000,0.000000,0.315580
1.57500,-0.600000,0.000000,0.000000,0.398872
1.60000,-0.600000,0.000000,0.000000,0.344297
1.62500,-0.600000,0.000000,0.000000,0.157597
1.65000,-0.600000,0.000000,0.000000,-0.098715
1.67500,-0.600000,0.000000,0.000000,-0.319756
1.70000,-0.600000,0.000000,0.000000,-0.399396
1.72500,-0.600000,0.000000,0.000000,-0.285193
1.75000,-0.600000,0.000000,0.000000,-0.019627
1.77500,-0.600000,0.000000,0.000000,0.263197
1.80000,-0.600000,0.000000,0.000000,0.399211
1.82500,-0.600000,0.000000,0.000000,0.292794
1.85000,-0.600000,0.000000,0.000000,-0.005498
1.87500,-0.600000,0.000000,0.000000,-0.306067
1.90000,-0.600000,0.000000,0.000000,-0.393491
1.92500,-0.600000,0.000000,0.000000,-0.187345
1.95000,-0.600000,0.000000,0.000000,0.169601
1.97500,-0.600000,0.000000,0.000000,0.393170
2.00000,-0.600000,0.000000,0.000000,0.282843
2.02500,-0.600000,0.000000,0.000000,-0.082460
2.05000,-0.600000,0.000000,0.000000,-0.376086
2.07500,-0.600000,0.000000,0.000000,-0.308330
2.10000,-0.600000,0.000000,0.000000,0.071864
2.12500,-0.600000,0.000000,0.000000,0.381322
2.15000,-0.600000,0.000000,0.000000,0.278929
2.17500,-0.600000,0.000000,0.000000,-0.139735
2.20000,-0.600000,0.000000,0.000000,-0.399211
2.22500,-0.600000,0.000000,0.000000,-0.177561
2.25000,-0.600000,0.000000,0.000000,0.268624
2.27500,-0.600000,0.000000,0.000000,0.370816
2.30000,-0.600000,0.000000,0.000000,-0.021980
2.32500,-0.600000,0.000000,0.000000,-0.387384
2.35000,-0.600000,0.000000,0.000000,-0.204292
2.37500,-0.600000,0.000000,0.000000,0.279350
2.40000,-0.600000,0.000000,0.000000,0.344297
2.42500,-0.600000,0.000000,0.000000,-0.124913
2.45000,-0.600000,0.000000,0.000000,-0.396944
2.47500,-0.600000,0.000000,0.000000,-0.019039
2.50000,-0.600000,0.000000,0.000000,0.392314
2.52500,-0.600000,0.000000,0.000000,0.126777
2.55000,-0.600000,0.000000,0.000000,-0.364237
2.57500,-0.600000,0.000000,0.000000,-0.194248
2.60000,-0.600000,0.000000,0.000000,0.337731
2.62500,-0.600000,0.000000,0.000000,0.226293
2.65000,-0.600000,0.000000,0.000000,-0.326808
2.67500,-0.600000,0.000000,0.000000,-0.227586
2.70000,-0.600000,0.000000,0.000000,0.336037
2.72500,-0.600000,0.000000,0.000000,0.198354
2.75000,-0.600000,0.000000,0.000000,-0.361596
2.77500,-0.600000,0.000000,0.000000,-0.134201
2.80000,-0.600000,0.000000,0.000000,0.390367
2.82500,-0.600000,0.000000,0.000000,0.030013
2.85000,-0.600000,0.000000,0.000000,-0.398298
2.87500,-0.600000,0.000000,0.000000,0.111408
2.90000,-0.600000,0.000000,0.000000,0.352025
2.92500,-0.600000,0.000000,0.000000,-0.266727
2.95000,-0.600000,0.000000,0.000000,-0.220265
2.97500,-0.600000,0.000000,0.000000,0.381794
3.00000,-0.600000,0.000000,0.000000,-0.000000
3.02500,-0.600000,0.000000,0.000000,-0.379003
3.05000,-0.600000,0.000000,0.000000,0.249484
3.07500,-0.600000,0.000000,0.000000,0.201076
3.10000,-0.600000,0.000000,0.000000,-0.396440
3.12500,-0.600000,0.000000,0.000000,0.111408
3.15000,-0.600000,0.000000,0.000000,0.300563
3.17500,-0.600000,0.000000,0.000000,-0.370076
3.20000,-0.600000,0.000000,0.000000,0.037643
3.22500,-0.600000,0.000000,0.000000,0.330058
3.25000,-0.600000,0.000000,0.000000,-0.361596
3.27500,-0.600000,0.000000,0.000000,0.043699
3.30000,-0.600000,0.000000,0.000000,0.310198
3.32500,-0.600000,0.000000,0.000000,-0.383173
3.35000,-0.600000,0.000000,0.000000,0.128824
3.37500,-0.600000,0.000000,0.000000,0.226293
3.40000,-0.600000,0.000000,0.000000,-0.399211
3.42500,-0.600000,0.000000,0.000000,0.272528
3.45000,-0.600000,0.000000,0.000000,0.044674
3.47500,-0.600000,0.000000,0.000000,-0.325558
