t,a_thrust,a_roll,a_pitch,a_yaw,seg,gate,src_k,kf_speed
2.8500,-0.82847600,0.40952229,-0.00000000,0.02076433,g0,0,73,6.53
2.8750,-0.91430000,0.47191083,-0.00000000,0.03856688,g0,0,74,6.48
2.9000,-0.95308800,0.48168790,-0.00000000,0.05197452,g0,0,75,6.44
2.9250,-0.95308800,0.48168790,-0.00000000,0.05197452,g0,0,75,6.44
2.9500,-0.62184000,0.00907643,-0.00000000,0.08210191,g1,1,76,6.43
2.9750,-0.62184000,0.00907643,-0.00000000,0.08210191,g1,1,76,6.43
3.0000,-0.56539200,-0.23178344,-0.00000000,0.02082803,g1,1,77,6.34
3.0250,-0.56539200,-0.23178344,-0.00000000,0.02082803,g1,1,77,6.34
3.0500,-0.56926400,-0.26509554,-0.00000000,-0.04073248,g1,1,78,6.36
3.0750,-0.51896000,-0.23261146,-0.00000000,-0.08554140,g1,1,79,6.38
3.1000,-0.52070000,-0.18608280,-0.00000000,-0.04761146,g1,1,80,6.48
3.1250,-0.53224800,-0.15484076,-0.00000000,-0.02945860,g1,1,81,6.55
3.1500,-0.53224800,-0.15484076,-0.00000000,-0.02945860,g1,1,81,6.55
3.1750,-0.53224800,-0.15484076,-0.00000000,-0.02945860,g1,1,81,6.55
3.2000,-0.54458800,-0.10917197,-0.00000000,0.04280255,g1,1,82,6.69
3.2250,-0.54198400,-0.09363057,-0.00000000,0.06130573,g1,1,83,6.84
3.2500,-0.54198400,-0.09363057,-0.00000000,0.06130573,g1,1,83,6.84
3.2750,-0.54555600,-0.09098726,-0.00000000,0.06589172,g1,1,84,6.95
3.3000,-0.54368400,-0.09350318,-0.00000000,0.05614650,g1,1,85,7.07
3.3250,-0.54368400,-0.09350318,-0.00000000,0.05614650,g1,1,85,7.07
3.3500,-0.54740400,-0.09659236,-0.00000000,0.05245223,g1,1,86,7.10
3.3750,-0.54325200,-0.09254777,-0.00000000,0.04611465,g1,1,87,7.21
3.4000,-0.54325200,-0.09254777,-0.00000000,0.04611465,g1,1,87,7.21
3.4250,-0.54325200,-0.09254777,-0.00000000,0.04611465,g1,1,87,7.21
3.4500,-0.53640800,-0.08665605,-0.00000000,0.03321656,g1,1,88,7.34
3.4750,-0.53568000,-0.08649682,-0.00000000,0.03092357,g1,1,89,7.51
3.5000,-0.53922400,-0.08496815,-0.00000000,0.03194268,g1,1,90,7.49
3.5250,-0.46790400,-0.10722930,-0.00000000,0.04722930,g1,1,91,11.40
3.5500,-0.46790400,-0.10722930,-0.00000000,0.04722930,g1,1,91,11.40
3.5750,-0.47148400,-0.09917197,-0.00000000,0.04496815,g1,1,92,7.72
3.6000,-0.46645200,-0.08592357,-0.00000000,0.04066879,g1,1,93,7.84
3.6250,-0.46645200,-0.08592357,-0.00000000,0.04066879,g1,1,93,7.84
3.6500,-0.46645200,-0.08592357,-0.00000000,0.04066879,g1,1,93,7.84
3.6750,-0.46822400,-0.06015924,-0.00000000,0.02391720,g1,1,94,8.05
3.7000,-0.46822400,-0.06015924,-0.00000000,0.02391720,g1,1,94,8.05
3.7250,-0.47264000,-0.04920382,-0.00000000,0.01242038,g1,1,95,8.09
3.7500,-0.47956400,-0.04372611,-0.00000000,0.01105096,g1,1,96,8.21
3.7750,-0.48206800,-0.02767516,-0.00000000,0.01133758,g1,1,97,8.29
3.8000,-0.47729200,-0.02000000,-0.00000000,0.00891720,g1,1,98,8.94
3.8250,-0.47729200,-0.02000000,-0.00000000,0.00891720,g1,1,98,8.94
3.8500,-0.47865600,-0.01429936,-0.00000000,0.00388535,g1,1,99,8.44
3.8750,-0.47865600,-0.01429936,-0.00000000,0.00388535,g1,1,99,8.44
3.9000,-0.48458800,-0.00869427,-0.00000000,-0.00060510,g1,1,100,8.53
3.9250,-0.48625600,-0.00853503,-0.00000000,-0.00194268,g1,1,101,8.64
3.9500,-0.48625600,-0.00853503,-0.00000000,-0.00194268,g1,1,101,8.64
3.9750,-0.48557600,-0.00926752,-0.00000000,-0.00200637,g1,1,102,8.71
4.0000,-0.48989600,-0.01187898,-0.00000000,0.00038217,g1,1,103,8.78
4.0250,-0.48867200,-0.00678344,-0.00000000,-0.00350318,g1,1,104,8.82
4.0500,-0.48793600,-0.01197452,-0.00000000,-0.00165605,g1,1,105,8.88
4.0750,-0.48793600,-0.01197452,-0.00000000,-0.00165605,g1,1,105,8.88
4.1000,-0.48793600,-0.01197452,-0.00000000,-0.00165605,g1,1,105,8.88
4.1250,-0.48793600,-0.01197452,-0.00000000,-0.00165605,g1,1,105,8.88
4.1500,-0.49580400,-0.01955414,-0.00000000,0.00203822,g1,1,106,8.97
4.1750,-0.49413200,-0.02713376,-0.00000000,0.00283439,g1,1,107,9.04
4.2000,-0.49219600,-0.03200637,-0.00000000,0.00248408,g1,1,108,9.12
4.2250,-0.49550800,-0.02952229,-0.00000000,-0.00025478,g1,1,109,9.14
4.2500,-0.49550800,-0.02952229,-0.00000000,-0.00025478,g1,1,109,9.14
4.2750,-0.49274400,-0.04477707,-0.00000000,0.00073248,g1,1,110,9.20
