t_s,xacc_mps2,yacc_mps2,zacc_mps2,xgyro_rads,ygyro_rads,zgyro_rads
1.923548,-0.053078,-0.294348,-8.447809,-0.0516094,-0.0812961,0.6575032
1.930495,-0.047833,-0.301457,-8.485703,-0.0488666,-0.0650094,0.6619742
1.944515,-0.073990,-0.257306,-8.575566,-0.0515125,-0.0429766,0.6445425
1.951317,-0.021347,-0.337924,-8.562344,-0.0545102,-0.0381183,0.6278450
1.958374,-0.068493,-0.262681,-8.622642,-0.0574104,-0.0365883,0.6091713
1.965198,-0.025046,-0.327185,-8.611380,-0.0597228,-0.0373599,0.5906239
1.972077,-0.035520,-0.308638,-8.637306,-0.0612557,-0.0394074,0.5738379
1.985986,-0.033157,-0.307057,-8.665046,-0.0621886,-0.0441761,0.5495275
1.993007,-0.061261,-0.263129,-8.696124,-0.0619254,-0.0459636,0.5427917
1.999911,-0.039274,-0.293274,-8.691392,-0.0614294,-0.0471242,0.5395294
2.006827,-0.040461,-0.287354,-8.722172,-0.0524812,-0.0634263,0.5511653
2.020719,0.007318,-0.346999,-8.729234,-0.0313692,-0.0974213,0.5880061
2.027707,-0.050810,-0.259963,-8.777747,-0.0229697,-0.1098293,0.6081368
2.034631,-0.037122,-0.274367,-9.690118,-0.0064627,-0.1185759,0.6319165
2.041656,-0.054847,-0.244708,-10.314980,0.0100895,-0.1234832,0.6541614
2.048545,-0.026613,-0.280171,-10.880718,0.0238582,-0.1251586,0.6732373
2.062410,-0.038393,-0.256732,-11.727725,0.0379976,-0.1227063,0.6983030
2.069335,-0.033723,-0.260466,-12.070409,0.0390133,-0.1204279,0.7039972
2.076254,-0.031951,-0.260459,-12.356987,0.0375341,-0.1183210,0.7056390
2.083243,-0.044940,-0.240185,-12.565981,0.0348753,-0.1167143,0.7039639
2.097170,-0.046475,-0.233706,-12.926971,0.0298630,-0.1152616,0.6941829
2.104163,-0.044422,-0.234206,-13.071587,0.0284680,-0.1152210,0.6878216
2.111030,-0.019762,-0.265475,-13.255992,0.0279023,-0.1154259,0.6814826
2.117965,-0.032714,-0.245431,-13.318382,0.0279812,-0.1157295,0.6757300
2.124965,-0.044540,-0.227026,-13.365858,0.0284555,-0.1160264,0.6709514
2.138771,-0.027691,-0.245068,-13.539512,0.0297153,-0.1164048,0.6650257
2.145779,-0.046765,-0.219081,-13.541944,0.0330717,-0.1001156,0.6642061
2.152690,-0.029873,-0.241589,-13.643398,0.0365985,-0.0815006,0.6645035
