t_s,xacc_mps2,yacc_mps2,zacc_mps2,xgyro_rads,ygyro_rads,zgyro_rads
0.993171,0.000169,0.003280,-9.809414,0.0005460,0.0005274,0.0000385
1.000065,0.000154,0.000182,-9.810633,0.0005054,0.0005326,0.0000381
1.013972,0.000124,0.003209,-9.809519,0.0005491,0.0005323,0.0000381
1.021019,-0.000048,-0.003330,-9.810534,0.0006333,0.0005600,-0.0000286
1.027871,0.000084,0.003236,-9.809451,0.0005492,0.0005323,0.0000381
1.034992,0.000125,0.000245,-9.810454,0.0005067,0.0005261,0.0000388
1.048709,0.000069,0.003188,-9.809458,0.0005491,0.0005323,0.0000381
1.055732,-0.000101,-0.003331,-9.810475,0.0006346,0.0005535,-0.0000279
1.062599,0.000268,0.003304,-9.809688,0.0005433,0.0005443,0.0000386
1.069606,0.000003,0.000167,-9.810289,0.0005068,0.0005263,0.0000387
1.076461,-0.000042,-0.003934,-9.809711,0.0006633,0.0005778,-0.0000286
1.083445,-0.000045,0.003329,-9.809821,0.0005497,0.0005320,0.0000381
1.097370,0.000137,0.003181,-9.809521,0.0005490,0.0005323,0.0000382
1.104323,-0.000102,-0.003366,-9.810479,0.0006346,0.0005536,-0.0000279
1.111213,0.000267,0.003293,-9.809688,0.0005432,0.0005443,0.0000386
1.118186,0.000003,0.000167,-9.810291,0.0005068,0.0005263,0.0000387
1.132053,0.000123,0.003190,-9.809521,0.0005490,0.0005323,0.0000381
1.139044,-0.000049,-0.003357,-9.810538,0.0006334,0.0005600,-0.0000286
1.145994,0.000083,0.003190,-9.809459,0.0005491,0.0005323,0.0000381
1.152974,-0.000101,-0.003352,-9.810478,0.0006346,0.0005536,-0.0000279
1.166793,0.000224,0.000268,-9.810733,0.0005040,0.0005431,0.0000388
1.173741,-0.000294,-0.003725,-9.809743,0.0006340,0.0005543,-0.0000281
1.180640,0.000122,0.003202,-9.809520,0.0005490,0.0005323,0.0000381
1.187676,0.000048,-0.003318,-9.810802,0.0006306,0.0005769,-0.0000285
1.194540,-0.000014,0.003210,-9.809175,0.0005493,0.0005323,0.0000381
1.208482,-0.000198,-0.003724,-9.810015,0.0006339,0.0005541,-0.0000280
1.215385,0.000252,0.003279,-9.809690,0.0005432,0.0005443,0.0000386
