t_s,xacc_mps2,yacc_mps2,zacc_mps2,xgyro_rads,ygyro_rads,zgyro_rads
1.222356,-2.350437,-0.259131,-9.384492,0.002755,-0.000396,0.010779
1.229279,-2.326452,-0.288501,-9.358603,0.003882,0.000142,0.012975
1.236224,-2.344529,-0.269050,-9.386862,0.002651,-0.000374,0.011869
1.243267,-2.355589,-0.300835,-9.391026,0.003983,0.000736,0.014263
1.250096,-2.337662,-0.281541,-9.392429,0.002704,0.000018,0.013041
1.263935,-2.335047,-0.293310,-9.393694,0.002648,-0.000606,0.014292
1.270892,-2.351721,-0.293612,-9.395789,0.002928,0.000372,0.014716
1.277898,-2.349000,-0.297246,-9.389447,0.003565,-0.001068,0.014807
1.284791,-2.328585,-0.305272,-9.368509,0.003316,0.000025,0.015724
1.298695,-2.348547,-0.317163,-9.395383,0.002502,-0.000652,0.017198
1.305740,-2.353213,-0.324646,-9.386989,0.003211,-0.001995,0.017805
1.312548,-2.338812,-0.333808,-9.387323,0.002935,-0.002122,0.018468
1.319502,-2.349766,-0.336234,-9.384889,0.002550,-0.001984,0.019168
1.326507,-2.349593,-0.344235,-9.376699,0.003244,-0.002744,0.019758
1.340508,-2.358247,-0.351905,-9.377294,0.002621,-0.001888,0.021083
1.347373,-2.344981,-0.360362,-9.377184,0.002121,-0.001213,0.021782
1.354310,-2.346596,-0.367142,-9.370917,0.002877,-0.001785,0.022320
1.361312,-2.354499,-0.369377,-9.374381,0.002740,-0.001428,0.022889
1.375166,-2.352753,-0.376833,-9.377924,0.001870,-0.000263,0.024105
1.382140,-2.353239,-0.382209,-9.372562,0.002715,-0.001018,0.024512
1.389155,-2.360475,-0.382154,-9.377836,0.002390,-0.000638,0.024979
1.396041,-2.350829,-0.386240,-9.378570,0.002028,-0.000343,0.025511
1.409913,-2.360445,-0.386436,-9.381730,0.001372,0.000303,0.026322
1.416852,-2.357080,-0.389885,-9.375793,0.002201,-0.000606,0.026516
1.423807,-2.361815,-0.387834,-9.379396,0.002056,-0.000519,0.026746
1.430708,-2.360023,-0.386990,-9.380629,0.001692,-0.000228,0.027001
1.444675,-2.369037,-0.380324,-9.381219,0.001056,0.000231,0.027429
1.451610,-2.361809,-0.382105,-9.375067,0.001975,-0.000737,0.027368
1.458613,-2.369996,-0.375949,-9.378616,0.001862,-0.000631,0.027362
1.465464,-2.360995,-0.374590,-9.379258,0.001581,-0.000377,0.027384
1.472499,-2.375262,-0.365711,-9.380333,0.001168,0.000009,0.027416
1.486398,-2.366735,-0.358960,-9.373988,0.001741,-0.000789,0.027267
1.493278,-2.366081,-0.356298,-9.378187,0.001710,-0.000488,0.026983
1.500181,-2.367973,-0.348609,-9.378419,0.001377,-0.000351,0.026802
1.507184,-2.378711,-0.340464,-9.382936,0.001024,-0.000672,0.026631
1.520956,-2.376395,-0.514123,-9.376513,-0.001848,-0.002491,0.037384
1.528011,-2.063979,-0.300026,-8.900071,-0.303162,-0.082589,0.126226
1.534873,-2.174244,-0.410603,-8.354970,-0.501823,-0.097765,0.187620
1.541923,-2.103080,-0.479026,-8.658077,-0.600504,-0.126108,0.218414
1.548749,0.067062,-0.010939,-5.791528,-0.417652,-0.683941,0.177977
1.555789,-0.031286,-0.009683,-2.369777,-0.292947,-1.004454,0.140102
1.569614,0.006018,0.003071,0.139167,-0.150042,-1.167818,0.074583
1.576564,-0.019571,0.000251,0.653352,-0.112992,-1.109411,0.045346
1.583520,-0.027256,0.000181,1.369113,-0.089976,-1.010130,0.018454
1.590413,-0.010515,0.004392,2.293922,-0.076009,-0.895296,-0.005726
1.604387,-0.047861,-0.000828,3.933048,-0.061053,-0.685663,-0.044359
1.611345,-0.039580,0.000917,4.533872,-0.054536,-0.599781,-0.057626
1.618239,-0.018090,0.005006,4.891515,-0.048580,-0.524019,-0.067415
1.625235,-0.048633,-0.001790,4.669778,-0.043171,-0.457379,-0.074378
1.632126,-0.015065,0.004695,4.661542,-0.039765,-0.400332,-0.078220
1.646007,-2.562022,-1.692508,-3.995797,0.561983,0.956984,-0.125340
1.652989,-11.533094,1.472971,-34.564953,0.170089,5.374696,-0.137915
1.659971,-5.142984,0.655877,-19.534342,0.065838,5.653073,-0.096049
1.666808,-5.701871,-0.769790,-23.439188,-0.044023,5.317272,-0.008011
1.673884,-5.171677,-1.017664,-25.281521,0.021464,4.236423,0.006636
1.687653,-5.754406,-0.323049,-31.973963,-0.001250,1.761379,0.003721
1.694665,-5.534674,-0.168118,-29.354414,-0.008558,0.744702,0.002694
1.701553,-4.065708,-0.163685,-23.869274,0.005639,-0.075839,0.004723
1.708578,-3.133719,-0.084618,-18.085022,0.006289,-0.570478,0.004475
1.722375,-2.689217,0.001813,-5.493043,-0.000745,-0.550951,0.002790
1.729355,-3.090122,-0.096269,-1.466824,-0.003368,-0.121273,0.002660
1.736301,-3.041739,-0.229031,-1.173469,-0.001144,0.293879,0.003193
1.743359,-3.190454,-0.326988,-3.844955,-0.002014,0.606039,0.003805
1.750200,-2.853123,-0.385973,-6.498158,0.003732,0.700648,0.004535
1.764098,-2.661335,-0.372900,-10.511534,0.004410,0.595865,0.006000
1.770995,-2.860374,-0.324311,-11.081941,-0.003384,0.509258,0.006998
1.778006,-2.733915,-0.345513,-10.747415,0.003572,0.393326,0.007899
1.784855,-2.707835,-0.340631,-10.122072,0.003388,0.322982,0.008791
1.798794,-2.705839,-0.356647,-9.005206,0.003975,0.275764,0.010172
1.805724,-2.690072,-0.366965,-8.780061,0.004636,0.274509,0.010573
1.812691,-2.684196,-0.372442,-8.744123,0.004904,0.277084,0.010760
1.819594,-2.647547,-0.372841,-8.820001,0.005313,0.275560,0.010704
1.826620,-2.641287,-0.368039,-8.917623,0.005875,0.265771,0.010406
1.840489,-2.592911,-0.347118,-9.041065,0.008175,0.238181,0.008829
1.847364,-2.529164,-0.329120,-9.048307,0.009777,0.220003,0.007604
1.854370,-2.548748,-0.312762,-9.020688,0.012235,0.205415,0.005955
1.861390,-2.524325,-0.291818,-8.980702,0.014999,0.189234,0.004077
